step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-med-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.156143439126675,5.033927573205126,4.911525639367258,0.459988343453092,0.03937298207890332,0.0017167105895328713,0.011133651115131992
1,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1752693181455,5.034903961554615,4.896535793099552,0.4598235293108152,0.04050447316415899,0.0017448377018178397,0.011537114805554837
2,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.17927253548312,5.035894710100519,4.891613181639283,0.46046952413694386,0.0406877399740229,0.001772852288944437,0.011707375659321957
3,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.183032785920366,5.036723590963088,4.889919934551778,0.46024835303472195,0.04073932956587997,0.0017813647173538772,0.011624165814530548
4,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.037462787931481,4.8879099196379885,0.46054277248959935,0.0405937324113077,0.0017811675867871132,0.011581616503418742
5,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.037462787931481,4.8836019081627215,0.4608396578439514,0.0405937324113077,0.0017811675867871132,0.011525266606026253
6,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.0391425735361395,4.8836019081627215,0.46111409501029627,0.0405937324113077,0.0017971396187707275,0.011525266606026253
7,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.041947625430184,4.8836019081627215,0.4614995428545135,0.0405937324113077,0.0018348067389149306,0.011525266606026253
8,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.041947625430184,4.8836019081627215,0.4617363281008665,0.0405937324113077,0.0018348067389149306,0.011525266606026253
9,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.041947625430184,4.879725453980083,0.46193924071977016,0.0405937324113077,0.0018348067389149306,0.011376933251862741
